Product_ID,Stock_Quantity,Reorder_Level,Reorder_Quantity,Date_Received,Expiration_Date,Warehouse_Location
29-205-1132,22,72,70,2024-08-16,2024-09-19,48 Del Sol Trail
40-681-9981,45,77,2,2024-11-01,2024-05-08,36 3rd Place
06-955-3428,30,38,83,2024-08-03,2024-09-22,3296 Walton Court
71-594-6552,12,59,62,2024-12-08,2024-04-17,3 Westerfield Crossing
57-437-1828,37,30,74,2024-07-03,2024-10-05,15068 Scoville Court
21-120-6238,55,33,14,2024-12-03,2024-09-05,050 Mcbride Avenue
71-516-1996,96,52,16,2024-03-18,2024-06-20,12 Truax Court
39-629-5554,44,90,17,2025-02-03,2025-02-05,267 International Plaza
66-268-8345,91,84,11,2024-12-04,2025-01-08,550 Clemons Plaza
46-452-9419,43,10,15,2024-11-18,2024-07-08,55782 Welch Hill
51-469-4611,62,81,91,2024-12-18,2025-01-07,04776 Saint Paul Park
42-220-9305,91,98,6,2024-10-19,2024-10-14,61932 Cascade Crossing
75-094-1179,26,79,31,2024-12-13,2024-07-18,13 Forest Run Place
11-073-0189,95,50,76,2024-04-05,2024-05-06,5104 Jana Court
22-621-2774,54,26,16,2024-03-11,2024-06-14,00 Drewry Court
39-449-0772,94,13,15,2024-02-27,2024-10-05,195 Portage Junction
55-936-2406,27,93,88,2024-11-16,2024-04-05,52691 8th Drive
82-041-7211,49,49,26,2024-09-10,2024-07-01,285 1st Park
48-414-6162,55,93,84,2024-05-29,2024-05-05,17780 Lindbergh Junction
76-854-0095,65,61,82,2024-05-31,2024-12-28,7834 Cordelia Alley
25-349-7974,72,70,99,2024-10-07,2024-06-22,42 Bunker Hill Junction
66-627-9752,49,73,48,2024-08-17,2024-09-03,08 Randy Junction
78-614-4402,81,99,28,2024-09-30,2024-04-25,37 Browning Trail
67-025-1245,88,46,55,2024-04-09,2024-08-12,51890 Lindbergh Terrace
68-418-6724,63,4,85,2024-12-21,2024-09-30,49869 Bunker Hill Terrace
40-795-0753,31,43,80,2024-05-28,2024-05-30,66879 Susan Place
02-508-3777,97,88,81,2024-11-05,2024-06-26,895 Northland Hill
79-741-0770,72,87,39,2024-06-24,2024-03-17,91 Kinsman Terrace
31-211-5803,16,9,32,2024-07-16,2025-02-07,492 Shoshone Road
16-499-5059,77,20,5,2024-08-18,2024-12-20,3 Hooker Way
76-340-4432,19,36,72,2024-05-03,2024-03-06,157 David Center
38-732-7667,18,52,22,2024-08-23,2024-09-28,3645 Ridge Oak Drive
04-240-2226,47,48,73,2024-08-13,2024-03-05,504 Green Park
79-136-9840,77,45,75,2024-11-05,2024-06-23,26175 Oxford Way
73-401-5721,46,28,73,2024-05-28,2024-12-26,582 Sauthoff Crossing
91-848-0606,39,22,73,2024-06-11,2024-10-28,13 Corscot Hill
54-109-8062,75,69,100,2024-07-11,2025-02-16,67 Little Fleur Road
70-612-2531,48,48,39,2024-03-17,2024-10-30,4 Raven Drive
26-161-6692,61,90,26,2024-12-22,2024-09-19,70001 Vahlen Lane
43-893-5408,60,90,85,2025-01-21,2024-08-24,6 Orin Place
11-316-8405,24,55,51,2024-04-26,2024-11-25,108 Morning Center
34-086-3222,12,7,48,2024-06-24,2024-06-05,867 Merrick Place
21-816-1004,84,13,88,2025-01-26,2024-07-22,564 Hazelcrest Crossing
43-693-2092,51,100,70,2024-04-30,2024-09-22,76 Toban Plaza
63-270-7076,65,36,37,2024-04-21,2025-01-24,6 Lunder Parkway
90-230-9767,67,88,32,2024-04-06,2024-11-17,00397 Bay Terrace
05-334-2923,14,74,71,2024-08-18,2024-05-16,8 Surrey Pass
52-481-5224,45,24,61,2025-01-21,2025-02-15,80 Old Shore Plaza
11-325-7396,92,46,13,2024-07-28,2024-03-26,387 Jay Point
70-854-6891,41,84,90,2025-01-28,2024-11-12,24045 Bluestem Point
46-520-1819,41,36,78,2024-07-04,2024-05-15,805 Nancy Crossing
91-105-7317,85,45,71,2024-03-20,2025-02-02,44022 Barnett Way
40-751-8635,44,80,84,2024-08-30,2024-03-05,3 Ronald Regan Center
02-920-4829,92,87,84,2024-10-19,2024-05-22,4 Judy Hill
36-918-2937,62,89,18,2024-03-12,2024-11-28,90865 Sherman Court
68-761-6907,26,18,62,2024-07-28,2025-02-02,9695 Alpine Trail
69-468-5468,59,78,6,2024-11-03,2024-11-26,72083 Acker Crossing
27-635-8394,88,37,61,2025-02-03,2024-03-19,812 Shelley Circle
41-729-5410,91,59,49,2024-10-23,2024-06-26,7193 Crownhardt Drive
33-335-9140,28,17,28,2024-10-24,2024-08-27,76928 Tennyson Parkway
11-581-9869,51,60,98,2024-05-01,2024-09-26,44801 Myrtle Center
78-237-0277,46,27,76,2024-09-15,2025-01-13,79 Cardinal Court
75-152-8731,82,65,69,2024-04-11,2024-08-08,622 Anthes Lane
65-718-0492,100,92,26,2024-05-05,2025-02-16,8626 Chinook Parkway
55-697-5242,51,53,88,2025-01-31,2024-09-24,19112 Little Fleur Road
14-844-4138,61,43,29,2025-02-03,2024-03-03,40643 Sullivan Lane
20-225-3930,99,87,10,2024-12-08,2024-03-17,5756 Stephen Avenue
66-993-4234,13,60,100,2024-07-18,2024-06-24,22 Dexter Trail
87-762-1317,45,63,75,2025-01-28,2025-02-09,9305 Warrior Way
81-844-2979,73,87,46,2024-09-24,2024-05-11,16 Elgar Point
44-408-7594,39,21,5,2024-11-24,2025-01-08,81 Oneill Circle
26-010-9519,29,72,96,2024-05-03,2025-01-09,4508 Shopko Trail
65-464-5070,12,60,73,2025-02-03,2024-09-01,00 Luster Alley
07-970-9352,96,33,72,2024-03-10,2024-07-12,459 Gateway Pass
88-746-9468,35,92,74,2024-11-25,2024-11-14,82737 Ryan Place
06-336-5482,89,34,15,2024-12-31,2024-08-24,7 Mockingbird Hill
03-276-3931,60,36,28,2024-06-30,2024-12-20,081 Bellgrove Place
39-232-5341,20,34,74,2024-09-21,2025-02-15,05433 Towne Terrace
12-239-9399,28,40,27,2024-12-14,2024-10-27,924 La Follette Alley
75-080-4909,20,55,15,2024-12-09,2024-09-09,7 Gateway Center
70-815-4015,38,93,61,2024-12-10,2024-08-30,175 Sycamore Circle
11-032-9778,99,1,4,2024-12-13,2024-08-19,553 Mayfield Crossing
54-374-9986,92,52,80,2024-06-03,2024-03-21,74997 Katie Terrace
77-312-6317,41,29,76,2024-02-26,2024-10-01,3616 Carey Pass
13-844-2178,44,67,48,2024-09-05,2024-03-24,86207 Tennyson Parkway
22-141-9798,47,7,63,2024-05-18,2024-04-30,6 Nobel Junction
20-022-3173,21,63,65,2024-10-08,2025-02-22,81878 Nobel Point
26-177-5690,85,33,50,2024-03-06,2025-01-21,61707 Mariners Cove Park
70-871-4536,29,4,17,2025-01-19,2024-06-17,5 Waxwing Junction
06-611-5454,64,21,13,2025-01-30,2024-11-16,16 Autumn Leaf Way
89-543-3456,66,40,96,2024-02-28,2025-02-06,22782 Oriole Way
82-395-5070,75,81,17,2024-07-09,2025-02-20,43442 Homewood Street
14-305-5348,53,63,2,2024-08-02,2024-03-20,19 Shoshone Circle
82-243-3180,43,63,80,2024-06-23,2025-02-11,97 Sunnyside Court
25-010-9478,74,30,24,2024-08-09,2024-07-31,357 Maple Park
13-202-4809,27,22,89,2024-05-01,2024-05-20,6195 Monterey Center
67-270-7464,91,73,77,2025-02-01,2024-12-07,7242 Claremont Avenue
11-733-1756,52,81,53,2024-08-28,2025-02-24,127 Eliot Road
80-988-4653,43,66,85,2024-04-20,2024-04-19,8 Russell Pass
60-343-7973,56,86,23,2024-04-15,2024-04-09,85408 Toban Crossing
34-861-4446,66,40,8,2024-11-27,2025-01-06,113 Donald Court
67-710-5120,84,92,18,2024-10-29,2024-02-25,978 Shasta Lane
49-891-4927,37,5,1,2025-01-02,2024-11-28,46 Hoffman Trail
55-522-8242,29,36,40,2024-11-08,2024-09-07,7 Spohn Avenue
62-509-0666,13,88,7,2024-07-28,2024-07-03,1468 Meadow Vale Court
64-478-4745,63,81,94,2024-06-04,2024-11-19,208 Miller Court
35-835-5591,95,63,73,2024-11-17,2024-03-08,509 Carpenter Trail
26-690-3784,58,5,1,2024-10-02,2024-04-06,19069 Cordelia Drive
67-546-1568,57,36,53,2024-06-04,2024-03-28,203 Mariners Cove Junction
67-625-9704,33,18,92,2024-06-03,2024-07-18,7819 Fallview Park
31-969-4614,62,89,6,2024-09-08,2025-01-15,993 Kensington Drive
50-364-5828,89,57,92,2024-08-15,2024-12-23,772 Golf Course Junction
61-827-4098,23,42,87,2025-02-01,2024-03-24,29992 Warrior Center
87-698-0944,56,12,59,2024-09-17,2025-02-02,8 Heffernan Point
36-636-4873,86,100,74,2024-03-25,2024-05-30,451 Grim Hill
98-556-5323,60,61,2,2024-05-13,2024-08-27,005 Tomscot Hill
97-772-2336,70,30,69,2024-08-13,2024-07-14,9 Bartillon Trail
19-047-4239,47,72,73,2024-05-21,2024-04-30,7 West Street
41-316-8427,95,93,16,2024-11-26,2024-09-21,03416 Valley Edge Circle
15-907-3681,20,42,21,2024-11-28,2025-02-20,21633 Sycamore Center
14-305-9690,19,17,14,2024-08-30,2024-03-10,43107 Schlimgen Circle
40-860-4532,74,72,18,2024-11-15,2025-02-05,988 Southridge Way
44-552-3909,61,50,9,2024-10-08,2025-01-19,6 Charing Cross Circle
75-029-9003,34,42,86,2024-05-16,2024-04-01,19180 Hagan Parkway
74-587-2065,29,20,85,2024-10-27,2024-03-02,84642 Clarendon Point
70-149-6756,14,99,97,2024-04-21,2024-06-26,6 Messerschmidt Place
29-896-7926,20,20,56,2025-01-06,2024-05-06,80930 Briar Crest Point
54-822-9009,40,38,32,2024-10-25,2025-01-03,64389 Arkansas Alley
84-075-7647,91,82,58,2024-04-27,2025-02-22,51 7th Court
88-602-8210,99,96,39,2024-06-22,2024-09-28,042 Di Loreto Court
04-542-3863,34,46,45,2024-10-09,2024-12-22,403 Loomis Way
57-613-5779,100,21,64,2024-06-19,2024-08-29,6 John Wall Plaza
90-737-0044,79,98,97,2024-12-10,2024-05-17,92321 Nelson Trail
28-956-1320,62,2,98,2024-05-23,2024-09-05,95 Onsgard Way
87-791-5803,25,44,96,2024-07-04,2024-09-01,8 Fremont Circle
14-521-4167,47,2,76,2024-05-13,2024-03-06,00847 Reindahl Place
51-572-5497,15,44,88,2024-08-31,2024-04-28,9516 Burrows Circle
28-840-6096,19,65,48,2024-09-09,2024-09-12,92655 Pond Park
44-538-3366,58,77,96,2024-09-11,2024-03-30,46 Cardinal Way
51-459-5630,11,30,4,2024-08-02,2024-12-14,805 Center Parkway
02-655-3240,99,44,52,2024-10-25,2024-06-20,6738 Tennyson Road
42-887-6557,26,82,19,2024-09-23,2024-03-30,61224 Northridge Avenue
96-316-7600,70,31,55,2024-07-31,2024-07-07,6 Swallow Crossing
58-063-8633,50,3,88,2024-07-21,2024-09-22,33424 Express Avenue
43-703-9939,55,91,35,2024-05-08,2025-02-17,4 Sundown Place
88-069-5486,31,87,19,2024-05-23,2024-05-01,01330 Sheridan Way
74-845-3299,63,92,26,2024-08-18,2024-04-29,2 Petterle Road
