Product_ID,Sales_Volume,Last_Order_Date
29-205-1132,32,2024-06-29
40-681-9981,85,2024-05-29
06-955-3428,31,2024-06-10
71-594-6552,95,2025-02-19
57-437-1828,62,2024-10-11
21-120-6238,34,2024-05-26
71-516-1996,67,2024-05-07
39-629-5554,21,2024-04-09
66-268-8345,56,2024-06-02
46-452-9419,27,2024-11-14
51-469-4611,100,2024-05-24
42-220-9305,100,2024-12-11
75-094-1179,47,2025-02-09
11-073-0189,69,2024-09-21
22-621-2774,63,2024-06-30
39-449-0772,20,2024-04-02
55-936-2406,66,2024-03-09
82-041-7211,78,2024-05-19
48-414-6162,46,2024-11-08
76-854-0095,29,2025-02-08
25-349-7974,82,2024-05-28
66-627-9752,52,2024-10-01
78-614-4402,20,2025-02-14
67-025-1245,73,2024-03-06
68-418-6724,59,2025-01-13
40-795-0753,46,2025-02-22
02-508-3777,97,2024-07-07
79-741-0770,94,2025-02-24
31-211-5803,50,2024-08-21
16-499-5059,61,2024-11-19
76-340-4432,31,2024-03-28
38-732-7667,42,2024-10-13
04-240-2226,42,2024-06-28
79-136-9840,25,2024-08-19
73-401-5721,65,2024-10-28
91-848-0606,60,2024-07-23
54-109-8062,43,2025-01-19
70-612-2531,51,2025-01-25
26-161-6692,79,2024-09-07
43-893-5408,47,2024-03-20
11-316-8405,39,2025-02-24
34-086-3222,66,2024-12-25
21-816-1004,25,2024-12-04
43-693-2092,40,2024-10-21
63-270-7076,32,2024-06-12
90-230-9767,66,2024-05-01
05-334-2923,37,2024-11-22
52-481-5224,44,2025-02-07
11-325-7396,24,2024-10-18
70-854-6891,42,2024-11-28
46-520-1819,38,2024-10-04
91-105-7317,95,2024-12-28
40-751-8635,96,2024-10-17
02-920-4829,61,2024-06-14
36-918-2937,35,2025-02-12
68-761-6907,57,2024-07-21
69-468-5468,32,2024-06-10
27-635-8394,63,2024-11-13
41-729-5410,30,2024-04-05
33-335-9140,38,2024-08-20
11-581-9869,44,2024-12-12
78-237-0277,64,2024-09-23
75-152-8731,30,2024-11-12
65-718-0492,84,2025-01-23
55-697-5242,54,2024-06-30
14-844-4138,67,2024-10-25
20-225-3930,93,2024-02-29
66-993-4234,44,2025-01-16
87-762-1317,83,2024-11-20
81-844-2979,47,2025-01-15
44-408-7594,51,2024-05-01
26-010-9519,85,2024-11-26
65-464-5070,20,2024-03-16
07-970-9352,74,2024-05-16
88-746-9468,76,2025-02-03
06-336-5482,60,2024-03-08
03-276-3931,26,2024-09-18
39-232-5341,50,2024-10-24
12-239-9399,30,2024-07-29
75-080-4909,86,2024-04-12
70-815-4015,67,2024-07-15
11-032-9778,50,2025-01-27
54-374-9986,72,2024-10-22
77-312-6317,59,2024-09-13
13-844-2178,90,2024-09-21
22-141-9798,29,2024-09-20
20-022-3173,38,2024-11-10
26-177-5690,64,2024-07-15
70-871-4536,59,2024-11-13
06-611-5454,51,2024-10-11
89-543-3456,24,2024-06-22
82-395-5070,69,2025-02-17
14-305-5348,56,2024-10-12
82-243-3180,33,2024-07-31
25-010-9478,82,2024-10-13
13-202-4809,91,2024-07-28
